OUTPUT MODE ==>          -9.00  0.0  0.0  0.0    0
Date = 250409ti           1.38  0.5  0.0 0.00    0
01:00                    0.0     
2.4   267.00
2.5   264.00
2.6   264.00
2.7   264.00
2.8   261.00
2.9   261.00
3.0   261.00
3.1   258.00
3.2   258.00
3.3   258.00
3.4   261.00
3.5   261.00
3.6   261.00
3.7   261.00
3.8   264.00
3.9   264.00
4.0   264.00
4.1   267.00
4.2   267.00
4.3   267.00
4.4   270.00
4.5   270.00
4.6   273.00
4.7   273.00
4.8   276.00
4.9   279.00
5.0   282.00
5.1   282.00
5.2   285.00
5.3   288.00
5.4   291.00
5.5   294.00
5.6   297.00
5.7   300.00
5.8   309.00
5.9   312.00
6.0   321.00
6.1   327.00
6.2   342.00
6.3   357.00
6.4   378.00
6.5     0.00
0.0     0.00
